well,Formula_ID,Replicate,HEMA (%),PEGDA (%),HEMA/PEGDA,Polymer content,Polymer/LAP,LAP (%),Water (%),E_Pa,std_dev_Pa,Relative Error % 
E9,Formula_5,Rep_2,44.26,20.66,2.14,64.92,327.88,0.198,34.882,3987.121,47630,1.19
E10,Formula_21,Rep_3,48.11,22.97,2.09,71.08,157.96,0.45,26.71,4588.172,27515,0.6
E11,Formula_25,Rep_2,41.18,23.39,1.76,64.57,398.58,0.162,35.268,4777.767,54191,1.13
E12,Formula_32,Rep_3,46.23,19.82,2.33,66.05,168.07,0.393,33.557,4958.898,87452,1.76
F1,Formula_23,Rep_2,42.04,21.13,1.99,63.17,134.12,0.471,36.359,3231.551,31178,0.96
F2,Formula_12,Rep_2,45.86,21.29,2.15,67.15,508.71,0.132,32.718,6058.594,76007,1.25
F3,Formula_19,Rep_2,44.99,18.23,2.47,63.22,248.9,0.254,36.526,4041.388,83147,2.06
F4,Formula_2,Rep_3,43.49,18.73,2.32,62.22,172.83,0.36,37.42,2644.3,13605,0.51
F5,Formula_24,Rep_1,50.71,21.52,2.36,72.23,255.23,0.283,27.487,5581.423,93199,1.67
F6,Formula_3,Rep_3,49.46,22.17,2.23,71.63,185.57,0.386,27.984,5935.781,81588,1.37
F7,Formula_26,Rep_3,51.52,20.57,2.5,72.09,1044.78,0.069,27.841,3462.007,33253,0.96
F8,Formula_30,Rep_3,41.7,20.41,2.04,62.11,129.67,0.479,37.411,2368.06,20862,0.88
F9,Formula_13,Rep_3,45.58,23.72,1.92,69.3,162.68,0.426,30.274,3965.619,40655,1.03
F10,Formula_10,Rep_2,47.11,19.28,2.44,66.39,163.52,0.406,33.204,3558.552,52288,1.47
F11,Formula_27,Rep_2,40.92,20.85,1.96,61.77,1123.09,0.055,38.175,2146.702,35768,1.67
F12,Formula_17,Rep_2,43.12,22.66,1.9,65.78,304.54,0.216,34.004,3562.956,38659,1.09
G1,Formula_20,Rep_3,48.79,19.66,2.48,68.45,137.45,0.498,31.052,2311.479,12314,0.53
G2,Formula_29,Rep_3,40.37,20.23,2,60.6,228.68,0.265,39.135,3951.668,57284,1.45
G3,Formula_1,Rep_2,51.71,23.92,2.16,75.63,804.57,0.094,24.276,5906.313,25878,0.44
G4,Formula_27,Rep_3,40.92,20.85,1.96,61.77,1123.09,0.055,38.175,2769.02,20084,0.73
G5,Formula_28,Rep_2,44.72,19.91,2.25,64.63,146.55,0.441,34.929,5389.252,19681,0.37
G6,Formula_32,Rep_2,46.23,19.82,2.33,66.05,168.07,0.393,33.557,4052.986,38795,0.96
